"address","date","maxave","minave"
"Kaleen, ACT",2013-01-01,32.5622215270996,11.0333337783813
"Kaleen, ACT",2013-01-02,30.9366664886475,12.432222366333
"Kaleen, ACT",2013-01-03,31.6222229003906,13.3944444656372
"Kaleen, ACT",2013-01-04,36.8899993896484,12.6266670227051
"Kaleen, ACT",2013-01-05,39.9566688537598,16.0355548858643
"Kaleen, ACT",2013-01-06,38.038890838623,17.7777786254883
"Kaleen, ACT",2013-01-07,36.4233322143555,17.5200004577637
"Kaleen, ACT",2013-01-08,36.8911094665527,19.9055557250977
"Kaleen, ACT",2013-01-09,26.1222229003906,14.5888891220093
"Kaleen, ACT",2013-01-10,29.6522216796875,11.1333332061768
"Kaleen, ACT",2013-01-11,35.8955574035645,12.7088890075684
"Kaleen, ACT",2013-01-12,38.054443359375,15.1622219085693
"Kaleen, ACT",2013-01-13,28.4222221374512,17.4277782440186
"Kaleen, ACT",2013-01-14,22.7344436645508,8.91222190856934
"Kaleen, ACT",2013-01-15,29.2466659545898,7.60888862609863
"Kaleen, ACT",2013-01-16,33.7266654968262,11.5100002288818
"Kaleen, ACT",2013-01-17,36.8366661071777,12.9033336639404
"Kaleen, ACT",2013-01-18,40.3722229003906,15.5344438552856
"Kaleen, ACT",2013-01-19,25.7566661834717,16.9911117553711
"Kaleen, ACT",2013-01-20,29.978889465332,14.6588888168335
"Kaleen, ACT",2013-01-21,34.602222442627,14.9933338165283
"Kaleen, ACT",2013-01-22,35.2688903808594,16.1233329772949
"Kaleen, ACT",2013-01-23,29.546667098999,16.0499992370605
"Kaleen, ACT",2013-01-24,31.8611106872559,15.8633337020874
"Kaleen, ACT",2013-01-25,33.8622207641602,14.5922222137451
"Kaleen, ACT",2013-01-26,33.3455543518066,20.2733325958252
"Kaleen, ACT",2013-01-27,29.581111907959,17.0755558013916
"Kaleen, ACT",2013-01-28,25.5577774047852,18.3611106872559
"Kaleen, ACT",2013-01-29,26.647777557373,17.0355548858643
"Kaleen, ACT",2013-01-30,28.8288879394531,14.8233337402344
"Kaleen, ACT",2013-01-31,31.0788879394531,14.4099998474121
"Kaleen, ACT",2013-02-01,23.3588886260986,12.3866662979126
"Kaleen, ACT",2013-02-02,20.1555557250977,9.88333320617676
"Kaleen, ACT",2013-02-03,24.4988880157471,6.95444440841675
"Kaleen, ACT",2013-02-04,26.3744449615479,13.0533332824707
"Kaleen, ACT",2013-02-05,27.2755546569824,12.2300004959106
"Kaleen, ACT",2013-02-06,29.5166664123535,15.0822219848633
"Kaleen, ACT",2013-02-07,33.3266677856445,12.7644443511963
"Kaleen, ACT",2013-02-08,35.3477783203125,14.4822225570679
"Kaleen, ACT",2013-02-09,35.3966674804688,16.96555519104
"Kaleen, ACT",2013-02-10,31.1111106872559,15.4944438934326
"Kaleen, ACT",2013-02-11,20.9300003051758,14.4311113357544
"Kaleen, ACT",2013-02-12,26.4144439697266,13.3433332443237
"Kaleen, ACT",2013-02-13,25.5833339691162,9.7188892364502
"Kaleen, ACT",2013-02-14,27.7866668701172,11.60777759552
"Kaleen, ACT",2013-02-15,26.9377784729004,13.8377780914307
"Kaleen, ACT",2013-02-16,26.411111831665,12.9622220993042
"Kaleen, ACT",2013-02-17,27.1100006103516,14.9711112976074
"Kaleen, ACT",2013-02-18,27.8355560302734,11.0022220611572
"Kaleen, ACT",2013-02-19,31.3677787780762,10.5100002288818
"Kaleen, ACT",2013-02-20,27.4544448852539,13.1866664886475
"Kaleen, ACT",2013-02-21,26.8122215270996,13.5233335494995
"Kaleen, ACT",2013-02-22,24.8966674804688,15.5033330917358
"Kaleen, ACT",2013-02-23,22.0511112213135,15.2555561065674
"Kaleen, ACT",2013-02-24,24.0566673278809,16.2611103057861
"Kaleen, ACT",2013-02-25,31.7555561065674,16.5355548858643
"Kaleen, ACT",2013-02-26,27.1266670227051,17.6533336639404
"Kaleen, ACT",2013-02-27,23.6811103820801,18.5544452667236
"Kaleen, ACT",2013-02-28,20.1444454193115,18.5444450378418
"Kaleen, ACT",2013-03-01,18.6377773284912,11.6677780151367
"Kaleen, ACT",2013-03-02,17.2266674041748,11.0055551528931
"Kaleen, ACT",2013-03-03,22.5388889312744,12.2611112594604
"Kaleen, ACT",2013-03-04,24.0788898468018,10.602222442627
"Kaleen, ACT",2013-03-05,25.9466667175293,12.1855554580688
"Kaleen, ACT",2013-03-06,28.1388893127441,12.3699998855591
"Kaleen, ACT",2013-03-07,30.195556640625,11.3333330154419
"Kaleen, ACT",2013-03-08,27.1333332061768,11.5855560302734
"Kaleen, ACT",2013-03-09,28.3433322906494,11.3000001907349
"Kaleen, ACT",2013-03-10,30.852222442627,13.3866662979126
"Kaleen, ACT",2013-03-11,27.3400001525879,14.4888887405396
"Kaleen, ACT",2013-03-12,28.513334274292,14.0566663742065
"Kaleen, ACT",2013-03-13,28.2344436645508,11.4544448852539
"Kaleen, ACT",2013-03-14,26.4600009918213,15.9055557250977
"Kaleen, ACT",2013-03-15,26.7044448852539,16.4222221374512
"Kaleen, ACT",2013-03-16,27.2444438934326,15.8533334732056
"Kaleen, ACT",2013-03-17,18.6955547332764,9.32777786254883
"Kaleen, ACT",2013-03-18,20.601110458374,4.50111103057861
"Kaleen, ACT",2013-03-19,21.6544437408447,4.57444429397583
"Kaleen, ACT",2013-03-20,24.533332824707,7.4622220993042
"Kaleen, ACT",2013-03-21,24.271110534668,10.188889503479
"Kaleen, ACT",2013-03-22,22.5833339691162,14.25
"Kaleen, ACT",2013-03-23,23.5622215270996,9.85999965667725
"Kaleen, ACT",2013-03-24,25.1599998474121,6.97666692733765
"Kaleen, ACT",2013-03-25,26.0988883972168,6.79999971389771
"Kaleen, ACT",2013-03-26,27.4133338928223,10.9433336257935
"Kaleen, ACT",2013-03-27,29.8444442749023,9.94333362579346
"Kaleen, ACT",2013-03-28,24.3633346557617,14.7622222900391
"Kaleen, ACT",2013-03-29,21.148889541626,5.67111110687256
"Kaleen, ACT",2013-03-30,22.796667098999,4.1288890838623
"Kaleen, ACT",2013-03-31,21.4488887786865,6.8222222328186
"Kaleen, ACT",2013-04-01,22.1322231292725,7.54222249984741
"Kaleen, ACT",2013-04-02,23.2055549621582,4.64666652679443
"Kaleen, ACT",2013-04-03,18.4555549621582,8.6133337020874
"Kaleen, ACT",2013-04-04,18.5644454956055,6.4433331489563
"Kaleen, ACT",2013-04-05,21.6077785491943,10.5488891601562
"Kaleen, ACT",2013-04-06,21.7488880157471,6.70444440841675
"Kaleen, ACT",2013-04-07,23.4255561828613,7.0722222328186
"Kaleen, ACT",2013-04-08,23.6788883209229,6.34666681289673
"Kaleen, ACT",2013-04-09,23.6655559539795,6.87555551528931
"Kaleen, ACT",2013-04-10,24.6966667175293,7.73888874053955
"Kaleen, ACT",2013-04-11,25.3888893127441,6.19000005722046
"Kaleen, ACT",2013-04-12,24.6266670227051,10.2833337783813
"Kaleen, ACT",2013-04-13,24.3700008392334,6.9088888168335
"Kaleen, ACT",2013-04-14,26.9911117553711,8.48999977111816
"Kaleen, ACT",2013-04-15,23.5444450378418,9.44111156463623
"Kaleen, ACT",2013-04-16,18.3966674804688,10.8388891220093
"Kaleen, ACT",2013-04-17,20.3444442749023,5.55444431304932
"Kaleen, ACT",2013-04-18,20.9877777099609,8.4011116027832
"Kaleen, ACT",2013-04-19,14.7355556488037,5.83777761459351
"Kaleen, ACT",2013-04-20,16.2677783966064,7.22777795791626
